cloudiness,rain,temp_max,wind_speed,visibility,humidity,OLS,is_outlier,DATE
20.66666667,0.0,103.05,8.922916667,10000.0,67.375,1.5445919115197888,False,197
22.29166667,0.0,103.1,8.588333333,10000.0,69.25,1.5234545036268734,False,198
20.375,0.0,103.1,9.377083333,10000.0,69.58333333,1.6445895093529865,False,199
22.125,0.0,102.09,8.212083333,10000.0,69.08333333,1.469941101374166,False,200
22.625,0.0,101.08,8.359166667,10000.0,70.125,1.4500652666864409,False,201
45.625,0.0,103.1,8.635,10000.0,69.95833333,1.4460298778009524,False,202
41.41666667,6.33,103.05,7.997916667,10000.0,64.33333333,1.7756977016687276,False,203
43.16666667,3.4,100.98,4.46125,10000.0,69.0,2.1626614800680612,False,204
45.16666667,0.0,98.1,8.289583333,10000.0,71.75,1.150637447140853,False,205
17.875,0.0,101.05,8.832083333,10000.0,68.375,1.5635080623822166,False,206
19.08333333,0.24,99.1,8.661666667,10000.0,68.70833333,1.4506237507793995,False,207
19.58333333,0.0,100.06,6.58625,10000.0,66.54166667,1.5216347570475093,False,208
55.83333333,0.25,101.08,5.844166667,10000.0,68.125,2.240355476272606,False,209
24.91666667,0.0,102.11,6.620416667,10000.0,68.45833333,1.51827361454857,False,210
36.33333333,0.0,105.12,6.791666667,10000.0,64.75,1.822220922083213,False,211
28.70833333,0.0,103.05,6.975416667,10000.0,63.41666667,1.650722884156604,False,212
35.41666667,0.0,104.02,7.442083333,10000.0,63.875,1.706407100450426,False,213
14.33333333,0.32,102.11,8.31125,10000.0,68.20833333,1.7031265274846519,False,214
21.45833333,0.0,103.1,9.394166667,10000.0,68.83333333,1.5865078153015535,False,215
21.20833333,0.15,104.11,8.847916667,10000.0,68.625,1.5985475696801261,False,216
24.75,0.0,104.04,9.674166667,10000.0,68.33333333,1.5624335655443637,False,217
21.20833333,0.0,104.11,9.974583333,10000.0,68.70833333,1.7058109399146741,False,218
20.54166667,0.0,104.02,10.3875,10000.0,70.33333333,1.8369810414627348,False,219
34.16666667,0.0,103.1,12.52,9985.043478,70.70833333,1.8479967994140272,False,220
28.08333333,0.0,104.99,13.52208333,9985.043478,70.54166667,2.3291661210466015,False,221
42.41666667,0.0,105.12,10.69833333,9890.619048,70.20833333,1.57573490355136,False,222
43.04166667,0.11,105.12,10.61958333,9720.952381,71.45833333,1.565687054894625,False,223
20.875,0.0,105.12,9.292916667,9814.0,70.29166667,1.775863956905285,False,224
23.75,0.0,106.03,8.137083333,10000.0,69.33333333,1.6409427808011892,False,225
37.66666667,0.0,104.04,9.90625,10000.0,66.29166667,1.5074926198976575,False,226
39.875,0.0,102.18,9.561666667,10000.0,44.45833333,3.798386606138302,False,227
18.20833333,0.0,106.02,7.085,9838.045455,61.25,1.9924140434161572,False,228
21.70833333,0.0,104.11,8.359583333,10000.0,66.70833333,1.5539669570392218,False,229
15.45833333,0.0,104.11,6.9975,10000.0,66.91666667,1.7351298625038754,False,230
16.70833333,0.0,108.1,7.977916667,10000.0,66.54166667,1.8781046476198364,False,231
36.625,0.18,105.98,9.011666667,10000.0,63.58333333,1.7758080619314107,False,232
62.5,1.59,97.11,16.25125,9660.125,70.125,2.387315481391731,False,233
24.375,0.0,104.11,10.21833333,10000.0,66.625,1.6337202403266349,False,234
40.33333333,0.0,108.05,7.965416667,10000.0,58.91666667,2.448154676817344,False,235
40.0,0.3,104.02,7.892916667,10000.0,54.70833333,2.679386553361044,False,236
30.0,0.0,105.06,6.550833333,10000.0,65.25,1.736323063467038,False,237
6.958333333,0.0,109.09,9.255416667,10000.0,56.625,2.5241206650008556,False,238
31.875,2.24,104.0,9.6625,10000.0,62.0,1.7277058253465716,False,239
25.41666667,0.49,99.05,11.65291667,10000.0,59.16666667,1.8974162273612913,False,240
16.66666667,0.0,101.05,9.545833333,10000.0,46.45833333,3.092438142975534,False,241
15.83333333,0.0,100.02,6.7275,10000.0,46.75,3.085363326468523,False,242
19.79166667,0.0,101.05,5.775416667,10000.0,51.125,2.7580476324042213,False,243
29.16666667,0.29,100.06,7.220416667,10000.0,62.25,1.5506649116016458,False,244
32.70833333,0.0,101.08,8.53125,10000.0,67.04166667,1.239414558238371,False,245
26.75,0.83,97.02,10.95583333,10000.0,72.16666667,1.5332571637952126,False,246
43.41666667,1.03,102.02,12.3325,10000.0,72.08333333,1.64245382106199,False,247
20.33333333,0.15,104.11,8.18,10000.0,69.5,1.6258200042872293,False,248
37.70833333,0.0,104.11,8.46375,10000.0,67.5,1.4612926316183616,False,249
17.91666667,2.34,106.05,9.24375,10000.0,66.04166667,1.795497384168603,False,250
35.4,9.88,98.1,10.6992,9457.52,67.68,1.351251498867205,False,251
40.41666667,0.25,98.06,9.6875,10000.0,51.66666667,2.710734543077396,False,252
11.04166667,0.0,98.06,6.895833333,10000.0,49.25,2.7016588581625953,False,253
39.79166667,0.0,99.03,6.505416667,10000.0,61.0,1.9484609955553243,False,254
65.75,8.62,95.05,8.318333333,10000.0,63.58333333,2.452244865078615,False,255
78.3,25.9,92.05,7.991333333,8315.689655,81.43333333,2.307687695172768,False,256
57.15384615,33.87,93.09,9.865769231,8788.416667,84.88461538,2.4018756869121187,False,257
20.57692308,18.01,93.02,7.056538462,10000.0,81.92307692,2.7754929911261383,False,258
31.66666667,1.75,95.04,7.827916667,10000.0,72.625,1.1651680916616154,False,259
30.83333333,0.0,96.04,4.878333333,10000.0,57.45833333,2.3091613293551534,False,260
23.75,0.0,95.11,7.032083333,10000.0,56.20833333,1.9112857860337598,False,261
37.91666667,0.0,97.05,10.97375,10000.0,64.66666667,1.2387107409911673,False,262
22.70833333,0.12,99.01,9.665833333,10000.0,71.66666667,1.5385825892291956,False,263
18.875,0.68,98.98,10.36208333,10000.0,71.66666667,1.7896662705120547,False,264
13.75,0.68,98.11,9.415,10000.0,71.29166667,1.8640534524333896,False,265
23.95833333,0.0,100.11,10.81625,10000.0,73.5,1.8177628578075453,False,266
47.67857143,11.31,94.98,10.44285714,8923.0,75.10714286,1.0403522126238718,False,267
42.8,23.58,94.05,5.4856,10000.0,80.56,2.6973276791659164,False,268
34.12,7.17,95.02,5.5192,10000.0,72.96,1.6847216113703671,False,269
24.20833333,0.34,96.12,6.322083333,10000.0,73.5,1.6420454097827717,False,270
40.75,0.49,94.05,8.350833333,10000.0,72.79166667,0.9676939724940441,False,271
14.04166667,0.0,95.11,10.73666667,10000.0,71.16666667,1.9944991345592362,False,272
23.41666667,0.0,96.12,11.94458333,10000.0,67.29166667,1.649329561187094,False,273
24.58333333,0.0,94.1,11.73625,10000.0,67.58333333,1.5081183058025094,False,274
85.0,49.23,85.98,9.256969697,7891.6875,84.87878788,3.4657396787562544,False,275
90.55882353,37.19,86.99,11.04176471,8878.787879,90.29411765,2.9518774173900857,False,276
86.96969697,53.96,82.38,11.36969697,8373.69697,90.27272727,3.7180064930501215,False,277
12.91666667,12.19,87.12,11.65375,10000.0,78.5,2.924009034964443,False,278
33.08333333,12.45,82.38,12.70333333,10000.0,62.16666667,1.704926533069414,False,279
39.375,9.38,77.11,8.871666667,10000.0,52.0,2.577701992818376,False,280
38.54166667,6.09,86.11,5.94625,10000.0,56.08333333,2.387321885673289,False,281
52.91666667,3.21,82.11,7.300416667,10000.0,69.08333333,1.422805486809181,False,282
73.75,22.1,78.06,11.2221875,8369.5625,86.375,1.5490508867787542,False,283
68.33333333,3.0,83.1,8.152083333,10000.0,81.08333333,1.9690309018193497,False,284
37.91666667,1.6,91.09,9.59,10000.0,80.91666667,1.8335960355474106,False,285
55.625,1.13,86.09,14.09916667,10000.0,55.04166667,2.5847256345486542,False,286
28.95833333,0.5,74.05,14.92833333,10000.0,56.75,2.5057756729555627,False,287
16.45833333,0.25,71.11,13.715,10000.0,59.5,2.5999813899473767,False,288
3.333333333,0.0,77.11,5.424583333,10000.0,58.08333333,2.4841023047201882,False,289
10.0,0.0,84.11,7.999583333,10000.0,68.25,1.9077607450069236,False,290
31.04166667,0.0,88.09,7.647083333,10000.0,70.79166667,1.0812890000699313,False,291
