date,temp_max,humidity,visibility,cloudiness,wind_speed,rain
9/26/2023,94.05,80.56,10000,42.8,5.4856,23.58
9/27/2023,95.02,72.96,10000,34.12,5.5192,7.17
9/28/2023,96.12,73.5,10000,24.20833333,6.322083333,0.34
9/29/2023,94.05,72.79166667,10000,40.75,8.350833333,0.49
9/30/2023,95.11,71.16666667,10000,14.04166667,10.73666667,
10/1/2023,96.12,67.29166667,10000,23.41666667,11.94458333,
10/2/2023,94.1,67.58333333,10000,24.58333333,11.73625,
10/3/2023,85.98,84.87878788,7891.6875,85,9.256969697,49.23
10/4/2023,86.99,90.29411765,8878.787879,90.55882353,11.04176471,37.19
10/5/2023,82.38,90.27272727,8373.69697,86.96969697,11.36969697,53.96
10/6/2023,87.12,78.5,10000,12.91666667,11.65375,12.19
10/7/2023,82.38,62.16666667,10000,33.08333333,12.70333333,12.45
10/8/2023,77.11,52,10000,39.375,8.871666667,9.38
10/9/2023,86.11,56.08333333,10000,38.54166667,5.94625,6.09
10/10/2023,82.11,69.08333333,10000,52.91666667,7.300416667,3.21
10/11/2023,78.06,86.375,8369.5625,73.75,11.2221875,22.1
10/12/2023,83.1,81.08333333,10000,68.33333333,8.152083333,3
10/13/2023,91.09,80.91666667,10000,37.91666667,9.59,1.6
10/14/2023,86.09,55.04166667,10000,55.625,14.09916667,1.13
10/15/2023,74.05,56.75,10000,28.95833333,14.92833333,0.5
10/16/2023,71.11,59.5,10000,16.45833333,13.715,0.25
10/17/2023,77.11,58.08333333,10000,3.333333333,5.424583333,
10/18/2023,84.11,68.25,10000,10,7.999583333,
10/19/2023,88.09,70.79166667,10000,31.04166667,7.647083333,
10/20/2023,94.01,62.75,10000,6.666666667,6.199166667,
10/21/2023,94.01,56.91666667,10000,30.04166667,7.24875,
10/22/2023,88.05,75.95833333,10000,35.41666667,9.4,
10/23/2023,89.06,81.08,9501.916667,58.88,12.1236,6.21
10/24/2023,87.06,76.20833333,10000,59.375,16.7825,
10/25/2023,89.06,80.375,9588.458333,61.66666667,15.82083333,2.32
10/26/2023,84.11,88.65625,8470.40625,91.40625,15.4275,29.1
10/27/2023,88.05,85.2,9816.24,83.2,11.0924,2.56
10/28/2023,88.14,82.5,9861.291667,51.875,11.17416667,
10/29/2023,90.05,81.41666667,10000,59.54166667,10.08291667,0.28
10/30/2023,75.09,84.38461538,9191.076923,100,19.78269231,2.76
10/31/2023,62.11,70.92,9970.086957,89.32,17.1648,4.18
11/1/2023,62.58,56.75,10000,10.83333333,11.84291667,
11/2/2023,70.11,50.45833333,10000,20.20833333,8.102916667,
11/3/2023,78.06,58.83333333,10000,37.08333333,7.192083333,
11/4/2023,81.09,80.25,10000,24.16666667,8.706666667,0.36
11/5/2023,83.14,80.08333333,9452.913043,69.875,8.516666667,
11/6/2023,83.05,76.29166667,10000,58.54166667,9.565,
11/7/2023,87.1,78.41666667,10000,27.79166667,11.48125,0.25
11/8/2023,86.11,79.125,10000,40.625,11.74666667,
11/9/2023,84.11,83.92307692,8740.076923,62.88461538,9.631538462,18.38
11/10/2023,72.09,94.875,4980.1,97.5,10.1545,49.12
11/11/2023,60.78,92.58333333,8861.045455,100,9.45125,0.81
11/12/2023,68.11,90,9350.478261,98.95833333,8.3175,3.61
11/13/2023,64.98,95.0952381,6064.952381,91.66666667,12.41071429,44.57
11/14/2023,72.05,87.25,10000,94.375,10.07083333,5.31
11/15/2023,75.11,79.33333333,10000,30.625,9.709583333,2.25
11/16/2023,69.78,87.62962963,8591.111111,90.37037037,7.486296296,2.5
11/17/2023,80.02,82.8,9545,56.2,5.186,1.25
11/18/2023,76.1,78,10000,70.625,8.540416667,1.25
11/19/2023,75.09,83.56,7746.791667,50.92,6.334,0.75
11/20/2023,80.11,88.39285714,7841.888889,84.17857143,10.36107143,9.35
11/21/2023,77.05,68.91666667,10000,69.79166667,18.795,0.5
11/22/2023,59.11,65,10000,39.79166667,10.45208333,0.5
11/23/2023,57.18,66.70833333,10000,64.58333333,3.276666667,1.04
11/24/2023,68.11,72.20833333,10000,81.04166667,7.576666667,0.25
11/25/2023,68.05,72.75,10000,30.54166667,10.88333333,0.25
11/26/2023,64.09,72.84,9714.96,74.2,14.2472,1.25
11/27/2023,59.02,59.08333333,10000,36.25,11.75041667,0.25
11/28/2023,64.11,56.20833333,10000,49.79166667,9.495,0.25
11/29/2023,69.1,65.04166667,10000,64.66666667,6.716666667,
11/30/2023,69.78,89.71052632,4392.157895,96.05263158,14.38552632,38.21
12/1/2023,73.38,91.77777778,6356.074074,88.7037037,7.921851852,9.32
12/2/2023,67.08,87.91666667,9837.208333,100,8.76625,5.54
12/3/2023,73.11,72.79166667,9904.291667,33.75,6.987083333,1
12/4/2023,73.11,57.29166667,10000,27.91666667,9.28,0.5
12/5/2023,72.1,53.58333333,10000,34.16666667,5.80375,0.25
12/6/2023,69.1,57.75,10000,28.79166667,7.144583333,
12/7/2023,73.06,70.16666667,10000,18.66666667,10.87875,0.5
12/8/2023,79.02,83.38461538,9972.48,95.11538462,13.45769231,4
12/9/2023,80.58,85.76,9788.72,84,10.9216,6.48
12/10/2023,73.02,51.96153846,9393.12,51.73076923,19.64961538,19.67
12/11/2023,66.11,52.45833333,10000,4.166666667,5.563333333,
12/12/2023,69.03,70.58333333,10000,8.666666667,10.47791667,0.25
12/13/2023,62.11,69.29166667,10000,68.75,11.89375,0.88
12/14/2023,73.02,60.58333333,10000,64.16666667,13.50166667,0.49
12/15/2023,68.02,76.51851852,9314.740741,98.14814815,13.64,3.51
12/16/2023,64.38,85.85294118,5419.352941,72.79411765,12.25441176,36.07
12/17/2023,70.11,67.20833333,10000,3.333333333,9.863333333,0.5
12/18/2023,74.1,64.33333333,10000,0.833333333,7.9475,
12/19/2023,67.03,64.41666667,10000,16.875,11.5525,0.25
12/20/2023,70.11,81.54166667,10000,48.29166667,12.15958333,0.25
12/21/2023,67.05,87.92,7703.72,96.6,12.888,0.5
12/22/2023,72.05,90.04166667,7144.130435,88.45833333,7.8275,2.65
12/23/2023,75.06,90.76,4629.84,91.6,9.1152,0.68
12/24/2023,71.06,92.59459459,7670.594595,89.18918919,13.46324324,38.84
12/25/2023,66.2,80.10714286,9788.72,16.53571429,11.07428571,1.25
12/26/2023,60.03,69.66666667,10000,53.45833333,8.84,
12/27/2023,67.01,72.375,10000,49.29166667,7.030833333,
12/28/2023,60.1,59.04166667,10000,15.45833333,10.46583333,
12/29/2023,57.02,63.16666667,10000,15.45833333,9.946666667,0.25
12/30/2023,68.11,58.91666667,10000,2.5,5.614166667,
12/31/2023,74.1,66.95833333,10000,34.5,5.592083333,
